model,epochs,tag,recommended_batch,pred_score
yolo11s.pt,20,115W,2,0.61716735
yolo11s.pt,10,115W,2,0.61716735
yolo11s.pt,5,115W,2,0.61716735
yolo11s.pt,1,115W,2,0.61716735
yolo11m.pt,5,115W,1,0.61716735
yolo11m.pt,1,115W,2,0.61716735
yolo11m.pt,20,115W,1,0.61716735
yolo11m.pt,10,115W,1,0.61716735
yolo11x.pt,10,115W,1,0.59535944
yolo11n.pt,20,115W,3,0.59317374
yolo11n.pt,10,115W,3,0.59317374
yolo11n.pt,5,115W,3,0.59317374
yolo11n.pt,1,115W,3,0.5886308
yolo11x.pt,1,115W,1,0.5531195
yolo11x.pt,20,115W,1,0.5454194
yolo11x.pt,5,115W,1,0.5313116
