epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.01103,0.91949,0.77437,0.99802,0.73808,0.69217,0.7624,0.60423,0.83914,0.64712,0.9633,4.76e-06,4.76e-06,4.76e-06
2,9.94115,0.91143,0.81695,1.02261,0.78113,0.70338,0.77395,0.61357,0.82044,0.6046,0.94987,9.64971e-06,9.64971e-06,9.64971e-06
3,13.1548,0.8997,0.73434,1.02739,0.79795,0.70813,0.78275,0.62307,0.79464,0.57949,0.9329,1.33613e-05,1.33613e-05,1.33613e-05
4,16.3189,0.8628,0.68521,1.01843,0.81892,0.72111,0.79379,0.64131,0.77409,0.55651,0.92212,1.58948e-05,1.58948e-05,1.58948e-05
5,19.531,0.83311,0.62954,0.98311,0.84268,0.724,0.80467,0.65692,0.75336,0.52975,0.91401,1.72502e-05,1.72502e-05,1.72502e-05
6,22.6921,0.81801,0.61867,0.98733,0.83906,0.74243,0.81334,0.66558,0.74314,0.50571,0.9068,1.74276e-05,1.74276e-05,1.74276e-05
7,25.8332,0.81114,0.59091,0.95903,0.84509,0.74683,0.82228,0.67563,0.73079,0.49558,0.89782,1.64268e-05,1.64268e-05,1.64268e-05
8,28.9815,0.79237,0.56632,0.93872,0.87395,0.74475,0.82785,0.67924,0.72334,0.488,0.8933,1.42479e-05,1.42479e-05,1.42479e-05
9,32.0846,0.80842,0.57182,0.95369,0.88095,0.74333,0.83078,0.68307,0.71711,0.48229,0.89118,1.08909e-05,1.08909e-05,1.08909e-05
10,35.1378,0.80655,0.55942,0.97147,0.89145,0.74489,0.83287,0.68523,0.71279,0.47959,0.88939,6.35579e-06,6.35579e-06,6.35579e-06
