model,batch,avg_step_time_e100,avg_power_e100,avg_mem_e100,avg_map50_e100,avg_map95_e100,avg_step_time_e10,avg_power_e10,avg_mem_e10,avg_map50_e10,avg_map95_e10,avg_step_time_e1,avg_power_e1,avg_mem_e1,avg_map50_e1,avg_map95_e1
yolo11n.pt,1,0.05618,19.44172,1422.73,0.6158,0.4458,,,,,,,,,,
yolo11n.pt,1,0.05087,17.51665,1112.37,0.6158,0.4458,,,,,,,,,,
yolo11n.pt,1,0.05182,17.62022,1158.27,0.6158,0.4458,,,,,,,,,,
yolo11n.pt,1,0.05121,17.70164,1222.4,0.6158,0.4458,,,,,,,,,,
yolo11n.pt,1,0.05198,17.7166,1214.45,0.6158,0.4458,,,,,,,,,,
yolo11n.pt,1,,,,,,0.0561,17.92197,1398.97,0.4647,0.3405,,,,,
yolo11n.pt,1,,,,,,0.05502,18.05489,1432.83,0.4647,0.3405,,,,,
yolo11n.pt,1,,,,,,0.05274,18.5339,1446.83,0.4647,0.3405,,,,,
yolo11n.pt,1,,,,,,0.05599,18.51712,1481.09,0.4647,0.3405,,,,,
yolo11n.pt,1,,,,,,0.05717,18.56827,1513.0,0.4647,0.3405,,,,,
yolo11n.pt,1,,,,,,0.05477,18.65009,1546.93,0.4647,0.3405,,,,,
yolo11n.pt,1,,,,,,0.05465,18.71613,1545.27,0.4647,0.3405,,,,,
yolo11n.pt,1,,,,,,0.05633,18.69785,1544.84,0.4647,0.3405,,,,,
yolo11n.pt,1,,,,,,,,,,,0.06649,16.92851,1489.98,0.4819,0.3437
yolo11n.pt,1,,,,,,,,,,,0.06333,16.78199,1363.24,0.4819,0.3437
yolo11n.pt,1,,,,,,,,,,,0.05742,16.83384,1432.69,0.4819,0.3437
yolo11n.pt,1,,,,,,,,,,,0.05696,16.87646,1500.81,0.4819,0.3437
yolo11n.pt,1,,,,,,,,,,,0.05665,16.82621,1489.09,0.4819,0.3437
yolo11n.pt,1,,,,,,,,,,,0.05638,16.81198,1486.28,0.4819,0.3437
yolo11n.pt,1,,,,,,,,,,,0.05789,16.85323,1495.23,0.4819,0.3437
yolo11n.pt,1,,,,,,,,,,,0.05745,16.87254,1488.75,0.4819,0.3437
yolo11n.pt,1,,,,,,,,,,,0.06007,16.8894,1487.85,0.4819,0.3437
yolo11n.pt,1,,,,,,,,,,,0.06037,16.8793,1489.38,0.4819,0.3437
yolo11n.pt,2,0.05796,20.96676,1483.05,0.6888,0.5151,,,,,,,,,,
