model,tag,e_base,b_base,e_other,b_other,same
yolo11m.pt,115W,1,2,5,1,0.0
yolo11m.pt,115W,1,2,10,1,0.0
yolo11m.pt,115W,1,2,20,1,0.0
yolo11m.pt,65W,1,1,5,1,1.0
yolo11m.pt,65W,1,1,10,1,1.0
yolo11m.pt,65W,1,1,20,1,1.0
yolo11n.pt,115W,1,3,5,3,1.0
yolo11n.pt,115W,1,3,10,3,1.0
yolo11n.pt,115W,1,3,20,3,1.0
yolo11n.pt,65W,1,1,5,1,1.0
yolo11n.pt,65W,1,1,10,1,1.0
yolo11n.pt,65W,1,1,20,6,0.0
yolo11s.pt,115W,1,2,5,2,1.0
yolo11s.pt,115W,1,2,10,2,1.0
yolo11s.pt,115W,1,2,20,2,1.0
yolo11s.pt,65W,1,2,5,1,0.0
yolo11s.pt,65W,1,2,10,2,1.0
yolo11s.pt,65W,1,2,20,1,0.0
yolo11x.pt,115W,1,3,5,1,0.0
yolo11x.pt,115W,1,3,10,1,0.0
yolo11x.pt,115W,1,3,20,1,0.0
yolo11x.pt,65W,1,1,5,1,1.0
yolo11x.pt,65W,1,1,10,1,1.0
yolo11x.pt,65W,1,1,20,1,1.0
