model,tag,ref,tgt,hit,rho,top3_overlap,n_common
yolo11m.pt,115W,1,5,0.0,0.9981671554252197,1.0,32
yolo11m.pt,115W,1,10,0.0,0.9981671554252197,1.0,32
yolo11m.pt,115W,1,20,0.0,0.9970674486803517,1.0,32
yolo11n.pt,115W,1,5,1.0,0.9882697947214074,0.6666666666666666,32
yolo11n.pt,115W,1,10,1.0,0.9912023460410555,0.6666666666666666,32
yolo11n.pt,115W,1,20,1.0,0.9805718475073312,0.6666666666666666,32
yolo11s.pt,115W,1,5,1.0,0.9802052785923752,0.6666666666666666,32
yolo11s.pt,115W,1,10,1.0,0.9791055718475071,0.6666666666666666,32
yolo11s.pt,115W,1,20,1.0,0.973973607038123,0.6666666666666666,32
yolo11x.pt,115W,1,5,0.0,0.9589442815249265,1.0,32
yolo11x.pt,115W,1,10,0.0,0.9611436950146626,1.0,32
yolo11x.pt,115W,1,20,0.0,0.975073313782991,1.0,32
