model,tag,ref,tgt,hit,rho,top3_overlap,n_common
yolo11m.pt,115W,1,5,1.0,0.8618035190615835,1.0,32
yolo11m.pt,115W,1,10,1.0,0.8614369501466275,0.6666666666666666,32
yolo11m.pt,115W,1,20,1.0,0.8713343108504398,0.6666666666666666,32
yolo11m.pt,65W,1,5,0.0,0.9783724340175951,0.6666666666666666,32
yolo11m.pt,65W,1,10,0.0,0.8570381231671553,0.3333333333333333,32
yolo11m.pt,65W,1,20,1.0,0.9387829912023459,0.6666666666666666,32
yolo11n.pt,115W,1,5,0.0,0.9717741935483869,1.0,32
yolo11n.pt,115W,1,10,0.0,0.9688416422287388,0.6666666666666666,32
yolo11n.pt,115W,1,20,0.0,0.9677419354838708,0.6666666666666666,32
yolo11n.pt,65W,1,5,1.0,0.9853372434017593,0.6666666666666666,32
yolo11n.pt,65W,1,10,0.0,0.9802052785923752,0.6666666666666666,32
yolo11n.pt,65W,1,20,0.0,0.9589442815249265,0.6666666666666666,32
yolo11s.pt,115W,1,5,0.0,0.9629765395894426,0.6666666666666666,32
yolo11s.pt,115W,1,10,0.0,0.9263196480938415,0.3333333333333333,32
yolo11s.pt,115W,1,20,0.0,0.9244868035190614,0.6666666666666666,32
yolo11s.pt,65W,1,5,0.0,0.9545454545454544,0.3333333333333333,32
yolo11s.pt,65W,1,10,0.0,0.9057917888563048,0.3333333333333333,32
yolo11s.pt,65W,1,20,0.0,0.8016862170087975,0.6666666666666666,32
yolo11x.pt,115W,1,5,0.0,0.9794721407624631,0.6666666666666666,32
yolo11x.pt,115W,1,10,0.0,0.9802052785923752,0.6666666666666666,32
yolo11x.pt,115W,1,20,0.0,0.9816715542521992,0.6666666666666666,32
yolo11x.pt,65W,1,5,0.0,0.8848973607038122,0.6666666666666666,32
yolo11x.pt,65W,1,10,0.0,0.87683284457478,0.6666666666666666,32
yolo11x.pt,65W,1,20,0.0,0.8951612903225805,0.6666666666666666,32
