feature,count,non_na,non_na_ratio,n_unique,mean,std,min,p25,median,p75,max,zero_frac,pos_frac,neg_frac,finite_frac,between_group_var_ratio,within_group_std_mean
mem_clock_mean,10,10,1.0,8,7727.312822982536,449.74739397513986,7186.836518046709,7291.230217306003,7749.673707710803,8186.206896551725,8200.0,0.0,1.0,0.0,1.0,0.9838334044539497,53.50977323951165
avg_mem,10,10,1.0,10,1490.69228515625,347.5650362288063,1145.568359375,1223.147705078125,1359.984375,1605.49609375,2117.87109375,0.0,1.0,0.0,1.0,4.607717359013719e-05,347.5567384269269
sm_clock_max,10,10,1.0,4,2241.0,280.9608513654527,2010.0,2010.0,2025.0,2505.0,2655.0,0.0,1.0,0.0,1.0,0.013795462319005814,276.8887476616595
sm_clock_p95,10,10,1.0,4,2241.0,280.9608513654527,2010.0,2010.0,2025.0,2505.0,2655.0,0.0,1.0,0.0,1.0,0.013795462319005814,276.8887476616595
mem_clock_early_late,10,10,1.0,7,133.92597778704513,224.1897241257929,-265.1162790697672,0.0,73.68421052631584,287.7768128528005,534.8837209302328,0.4,0.5,0.1,1.0,0.6953700366389209,122.62241222182419
mem_clock_std,10,10,1.0,8,275.68375504656257,193.3794857069629,0.0,62.83057640789172,342.6094054363418,436.6922620388849,484.6666708715493,0.3,0.7,0.0,1.0,0.7398243482313026,85.54326219880342
mem_clock_max,10,10,1.0,2,8100.0,100.0,8000.0,8000.0,8100.0,8200.0,8200.0,0.0,1.0,0.0,1.0,0.9999999999999998,0.0
mem_clock_p95,10,10,1.0,2,8100.0,100.0,8000.0,8000.0,8100.0,8200.0,8200.0,0.0,1.0,0.0,1.0,0.9999999999999998,0.0
sm_clock_std,10,10,1.0,6,64.3537832448907,78.97114313519253,0.0,0.0,4.194949600032688,133.64086791537454,188.0283329271234,0.5,0.5,0.0,1.0,0.02108798936512569,77.15113165755317
thr_p95,10,10,1.0,10,88.67422905034019,58.424823384553214,19.611203250462168,38.49464784475589,73.88401332678943,140.2976214716677,183.08739713732945,0.0,1.0,0.0,1.0,0.0067474352800886185,58.11857409650001
thr_mean,10,10,1.0,10,67.26442703257514,42.01567251004735,17.309176136132802,31.45518645143434,58.754324320965196,97.61941212953668,139.38894572043463,0.0,1.0,0.0,1.0,0.005809224260029335,41.82442382658341
throughput,10,10,1.0,10,56.154496884305104,32.63376581839824,16.320518666089562,28.5009449112299,51.15165272938772,79.37976585359725,109.64914159285044,0.0,1.0,0.0,1.0,0.00327217777597704,32.558539869410005
power_limit_w,10,10,1.0,9,84.53880000000001,31.602003296626624,51.443,53.0265,84.691,115.53775,117.56,0.0,1.0,0.0,1.0,0.9989368503523923,1.0264081844649087
sm_clock_mean,10,10,1.0,6,2030.3482570357187,25.383621790788478,2010.0,2010.0,2011.282894736842,2049.761682869594,2074.9655172413795,0.0,1.0,0.0,1.0,0.03150112682145087,24.463100099913017
sm_clock_early_late,10,10,1.0,6,15.765049263205423,20.095034930245767,0.0,0.0,1.1538461538461888,29.01315789473682,51.896551724138135,0.5,0.5,0.0,1.0,0.0028660593545515992,20.048871510609434
thr_std,10,10,1.0,10,19.04260949842608,15.434938395112649,2.7222867903869026,6.272625432427045,13.662468660887715,29.56894266971757,48.03957435459975,0.0,1.0,0.0,1.0,0.01042982865474734,15.281943416086559
power_range,10,10,1.0,10,15.298100000000002,8.126818755823216,4.7620000000000005,8.469000000000001,14.619499999999999,21.214750000000002,27.857000000000003,0.0,1.0,0.0,1.0,0.18205046435582245,7.336119807370135
pwr_max,10,10,1.0,10,28.5616,7.618483093109809,19.129,21.501,26.935,34.97325,40.06,0.0,1.0,0.0,1.0,0.10145170970150831,7.197066774458619
gpu_util_max,10,10,1.0,8,37.0,7.0,26.0,34.0,35.0,39.25,51.0,0.0,1.0,0.0,1.0,0.013061224489795558,6.954001645541379
mem_util_max,10,10,1.0,8,10.0,6.371812928829597,4.0,5.0,8.5,11.75,25.0,0.0,1.0,0.0,1.0,0.015763546798029195,6.145515950925644
gpu_util_p95,10,10,1.0,8,30.0,5.9833101206606365,19.0,26.75,32.0,34.0,39.0,0.0,1.0,0.0,1.0,0.017877094972066573,5.870546585250876
batch,10,10,1.0,5,6.2,5.455272678794343,1.0,2.0,4.0,8.0,16.0,0.0,1.0,0.0,1.0,0.0,5.455272678794343
pwr_p95,10,10,1.0,10,24.311509999999995,4.273721123962107,19.081,20.71235,22.918875,28.178874999999977,31.185,0.0,1.0,0.0,1.0,0.002798661341412642,4.267646053561537
mem_util_p95,10,10,1.0,7,7.5,2.9410882339705484,4.0,5.0,7.5,9.5,13.0,0.0,1.0,0.0,1.0,0.0011560693641617078,2.932256883834398
gpu_util_early_late,10,10,1.0,10,6.221993283458412,2.574914302557438,2.2906976744186047,4.934065934065934,5.592361299665128,8.030236305048335,10.27906976744186,0.0,1.0,0.0,1.0,0.5222546557048238,1.738123180283302
gpu_util_mean,10,10,1.0,10,6.225006653005111,2.19410213031961,2.592592592592593,4.656890915459156,5.602026618269813,7.62512700746227,9.905718701700154,0.0,1.0,0.0,1.0,0.0018790746902013578,2.1915519117780136
temp_max,10,10,1.0,7,60.9,2.1656407827707715,58.0,60.0,60.0,61.75,66.0,0.0,1.0,0.0,1.0,0.1727078891257622,1.9071067811865476
gpu_util_std,10,10,1.0,10,11.406709245890058,1.9236079674965132,6.610929554515003,11.211335187082632,12.096542437531404,12.60306925769768,13.247875183423274,0.0,1.0,0.0,1.0,0.00021920392311585495,1.8270951156558572
temp_p95,10,10,1.0,5,60.1,1.445683229480096,57.0,59.25,60.0,61.0,62.0,0.0,1.0,0.0,1.0,0.23444976076543758,1.238229425911424
mem_util_std,10,10,1.0,10,2.399156006601141,1.3260569188101248,0.9594726792020992,1.4818604104148094,2.1570470589043405,2.7072374409018756,5.37592782496793,0.0,1.0,0.0,1.0,0.0052909659269554125,1.2996783289842377
pwr_std,10,10,1.0,10,3.6219706367725495,1.2544509079865802,1.846342417552509,2.616847593244244,3.4382915446643607,4.649695283480356,5.970906094175311,0.0,1.0,0.0,1.0,0.18723636918653294,1.1296665003735185
temp_mean,10,10,1.0,10,57.98121771005158,1.138321817575969,55.36630602782071,57.593349769535855,58.2518956627237,58.78769883634034,59.49074074074074,0.0,1.0,0.0,1.0,0.5054886904456404,0.7454726479716275
pwr_min,10,10,1.0,10,13.263499999999999,1.0854327478015393,12.058,12.24925,12.9495,14.48925,14.571,0.0,1.0,0.0,1.0,0.9196279805630508,0.27417099000630685
mem_clock_slope,10,10,1.0,10,0.542612678822257,0.797165216006182,-0.7596419876792679,-2.2914713035667188e-14,0.47632110805681604,1.2783379131130888,1.5731538238369018,0.0,0.6,0.4,1.0,0.8855767104472524,0.2681811898618419
temp_early_late,10,10,1.0,10,1.1741303079716516,0.780731926982764,0.2040816326530645,0.6279688273132091,1.0602082128397932,1.2783186669163058,2.883720930232556,0.0,1.0,0.0,1.0,0.11936068027857433,0.7326524330054145
