model,epochs,tag,batch,avg_mem,avg_power,avg_step_time,energy_per_img,gpu_util_early_late,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_util_slope,gpu_util_std,is65W,map50,mem_clock_early_late,mem_clock_max,mem_clock_mean,mem_clock_p95,mem_clock_slope,mem_clock_std,mem_util_early_late,mem_util_max,mem_util_mean,mem_util_p95,mem_util_slope,mem_util_std,power_early_late,power_limit_w,power_peak_to_mean,power_range,power_slope,pwr_max,pwr_mean,pwr_min,pwr_p95,pwr_std,sm_clock_early_late,sm_clock_max,sm_clock_mean,sm_clock_p95,sm_clock_slope,sm_clock_std,step_time_cv,step_time_mean,step_time_p95,step_time_slope,step_time_std,temp_early_late,temp_max,temp_mean,temp_p95,temp_slope,temp_std,thr_mean,thr_p95,thr_std,throughput,throughput_var_ratio,vram_total_mb,n_logs,delta_map,true_score,rel,pred_score,rank_pred
yolo11m.pt,5,65W,3,2485.062082122093,26.982007035175872,0.0882221423256259,0.7934701549627751,40.54435483870967,63.0,26.6572864321608,61.0,0.0560294746623471,25.849159170512284,1.0,0.76056,745.967741935483,8000.0,7571.859296482412,8000.0,1.0312891455410431,494.8092981230777,15.185483870967742,27.0,10.834170854271356,25.0,0.0211932246137721,10.155159996955916,18.256971774193552,48.137,2.210176578868099,46.448,0.0262391247162091,59.635,26.98200703517588,13.187,39.05,11.332460256017749,193.9112903225805,2505.0,2155.311557788945,2505.0,0.2643740386254071,199.1711554490256,0.3229576878564206,0.0882221423256259,0.1246143400001528,-0.0001196063830331,0.0284920191032242,5.411290322580655,75.0,70.25628140703517,74.0,0.0078815448847349,2.911016718067827,35.57042602514162,42.297239450798806,5.905005349450355,34.00506857934904,0.0275589367008997,8188.0,1,0.04537000000000002,-122.15072264285271,27,1.2099186182022095,1
yolo11m.pt,5,65W,4,2747.92109375,26.000544662309373,0.0933958287500047,0.607085604171974,37.75982532751092,71.0,26.685185185185187,70.0,0.0613201048803676,29.36988992345789,1.0,0.76815,737.9912663755458,8000.0,7546.840958605664,8000.0,1.1565837630657907,497.8010893890274,15.624454148471616,33.0,11.859477124183009,32.0,0.0255508250918228,12.814873938596229,17.825838427947602,46.97,1.7008489850639965,30.782,0.027806557887174,44.223,26.00054466230937,13.441,39.6494,11.23876134832124,129.6943231441046,2505.0,2074.8692810457514,2505.0,0.2020755639637168,217.12090221931385,0.3389761960004878,0.0933958287500047,0.1268264750003254,-0.0001972978820464,0.0316589627519896,4.947598253275103,76.0,70.66884531590414,75.0,0.0080407102965837,2.8752813589776145,44.7467922180994,52.16476947322112,6.949286573428371,42.82846518453103,0.0241188517556236,8188.0,1,0.037780000000000036,-132.35145653083353,26,0.9315004348754883,2
yolo11m.pt,5,65W,5,3016.1239783653846,25.254052631578936,0.1024639038461967,0.5175257641137794,39.71100917431193,82.0,27.87871853546911,80.0,0.0694661440692722,32.4871941707119,1.0,0.77144,665.1376146788998,8000.0,7494.279176201373,8000.0,1.117971980601446,499.96727110388446,17.504587155963304,40.0,13.27116704805492,39.0,0.0307370398205284,15.136100080281157,17.834385321100918,49.262,1.935293345309872,35.529,0.0298022624288197,48.874,25.254052631578947,13.345,39.653,11.176665117273712,84.63302752293566,2505.0,2045.5263157894733,2505.0,0.1875788530043177,238.4338388982057,0.3581678490351983,0.1024639038461967,0.13442006499954,-0.0002815252506523,0.0366992760443416,5.224770642201847,77.0,70.83409610983982,75.0,0.00878165831432,2.9087857005342386,51.13719342653223,59.68844738215869,8.037254368472976,48.797672275938645,0.0247025421523915,8188.0,1,0.03449000000000002,-143.74656202496132,25,0.8990384936332703,3
yolo11m.pt,5,65W,6,3104.1813210227274,25.32969050410316,0.1131933145454075,0.4778586040947953,43.63849765258216,81.0,27.485345838218056,78.0,0.0746944333925835,31.584031959548472,1.0,0.78781,549.2957746478869,8000.0,7471.277842907386,8000.0,0.9697838792213552,499.17435600393895,20.070422535211268,41.0,13.42907385697538,40.0,0.0341679736520713,15.833577590987842,17.195868544600934,46.838,2.3135695238955662,45.084,0.0301460907740757,58.602,25.32969050410316,13.518,39.7404,11.411534979213828,27.74647887323954,2505.0,2008.856975381008,2505.0,0.0913889541001285,263.09059180644425,0.30098656968392,0.1131933145454075,0.1475560099996528,-0.0003057455302835,0.0340696674561751,4.840375586854449,78.0,71.19226260257913,76.0,0.0087097837345986,2.911848482729484,55.30552263148657,64.80331992904956,8.964905289360042,53.00666407814304,0.0262757069818116,8188.0,1,0.018120000000000025,-146.9077859789244,24,0.7455211281776428,4
yolo11m.pt,5,65W,7,3375.466488486842,25.511528571428578,0.1298067052632081,0.473081067155049,45.04285714285714,87.0,27.335714285714285,83.0,0.076586843235322,34.13463065867392,1.0,0.79304,757.1428571428569,8000.0,7520.238095238095,8000.0,1.2880747927849727,499.5902516073886,21.88095238095238,43.0,13.895238095238096,43.0,0.0368024493070021,17.04632277593634,17.4975380952381,47.705,2.385627338228599,47.302,0.0308743504050155,60.861,25.51152857142857,13.559,40.60365,11.638806720321169,4.571428571428669,2505.0,1983.625,2490.0,-0.0154338471892071,269.00508243339937,0.3233938430802641,0.1298067052632081,0.1696029699999598,-0.0004937601651716,0.041978689272656,4.152380952380952,75.0,71.06547619047619,75.0,0.0075267052735132,2.481214854500717,57.0312873428284,67.06622320848558,11.815392028641568,53.92633597629759,0.0429210089143216,8188.0,1,0.012890000000000068,-160.25017120288143,22,0.5464448928833008,5
yolo11m.pt,5,65W,8,3187.18359375,26.641321368939288,0.1396455850000165,0.4650140973239234,42.11507228013592,87.0,31.5645962866163,84.0,0.0853000563355532,35.14730636966034,1.0,0.80593,663.8109773656624,8000.0,7504.246650768169,8000.0,1.293749101595596,499.7707939272348,22.2530236710246,49.5,16.710428651619107,48.5,0.0443341607908616,19.268351175042007,15.973789595691988,55.787,2.2859412735404048,46.727,0.0321730413745667,60.874,26.64132136893929,14.147,45.27435000000001,12.675200382910695,4.308083280539107,2490.0,1977.1021100071152,2490.0,0.0112278102462047,295.4833456783921,0.2037173731461764,0.1396455850000165,0.167146940000066,-0.0003790187974651,0.0285005588229167,4.244039048551521,79.5,73.9308746080496,77.5,0.0082873844033373,2.5718793242468747,58.78951567825947,68.54845895441547,7.866399375535521,57.289194846785904,0.0181076774550324,8188.0,2,0.0,-150.16481764414604,23,0.3757018446922302,6
yolo11m.pt,5,65W,10,4107.477824519231,24.955166462668306,0.1752078538461389,0.4372341158297255,45.13235294117647,90.0,29.31089351285189,88.0,0.0830273944605508,35.16589523002265,1.0,0.79059,509.8039215686276,8000.0,7470.012239902081,8000.0,0.9800019399355796,499.09992410769775,24.25490196078432,56.0,16.56670746634027,49.0,0.0446432516559427,20.09593315340447,17.385328431372557,48.706,2.2138101175420046,41.752,0.0317727178647118,55.246,24.9551664626683,13.494,40.0166,11.349517972356724,-73.30882352941171,2490.0,1963.8800489596083,2490.0,-0.0960786323489372,288.6483510375009,0.220981118144601,0.1752078538461389,0.2034535600007075,-0.0007927545104891,0.0387176274506356,4.833333333333329,77.0,70.87760097919217,75.0,0.0084445730302127,2.67811295160254,58.82617162245882,68.23989836092804,8.766420951274073,57.07506701601192,0.0222076943125726,8188.0,1,0.01534000000000002,-195.73945505995846,20,0.1968342810869217,7
yolo11m.pt,5,65W,9,4023.0819270833335,24.96414510278108,0.1575760799999868,0.4370835695385677,52.12135922330097,88.0,31.60459492140266,86.0,0.0927118105179106,35.00854451824197,1.0,0.78136,524.2718446601939,8000.0,7389.359129383313,8000.0,0.8659135039522953,487.6049607512023,28.689320388349515,55.0,18.287787182587667,50.0,0.0516814196992839,20.19456469820813,17.27255339805826,51.091,2.231440322536583,42.373000000000005,0.0313516718639723,55.706,24.96414510278114,13.333,40.0625,11.431844693179729,-1.5291262135922352,2490.0,2001.36638452237,2490.0,0.0677596305243353,291.1833339336043,0.2926184246493356,0.1575760799999868,0.1900842299995019,-0.000770893863445,0.0461096642920138,4.752427184466015,76.0,70.88270858524788,75.0,0.0084127738005388,2.6934518501596103,60.58686965971587,80.61040996234522,15.175007404970453,57.11526774876462,0.062733684371224,8188.0,1,0.02456999999999998,-191.51121656037162,21,0.1767214685678482,8
yolo11m.pt,5,65W,11,4411.90859375,25.781209617755867,0.191110385000032,0.4479142632559866,44.75247524752475,91.0,27.794081381011097,89.0,0.079250616016635,35.78691926003243,1.0,0.78801,702.970297029703,8000.0,7493.218249075216,8000.0,1.283843232905693,499.95400573892215,24.65346534653465,52.0,15.720098643649814,48.0,0.0435555087623628,20.324235604025223,18.88147524752475,49.856,2.477812365949048,50.353,0.034417498449413,63.881,25.78120961775586,13.528,41.281,12.071843210589943,36.31188118811883,2490.0,1966.5351418002467,2490.0,0.0256992489017673,315.14155069926545,0.2351935630561202,0.191110385000032,0.2219451100005244,-0.00101366019728,0.0449479323851844,4.702970297029708,80.0,70.99136868064119,75.0,0.0084908048001717,2.737360726941435,59.837391364528905,71.56046882782009,11.1839360013963,57.55835822317115,0.0349336562454235,8188.0,1,0.017920000000000047,-211.06407710587544,19,0.16124869883060455,9
yolo11m.pt,5,65W,12,4490.344957386364,24.20313990267641,0.1991287072727407,0.4016283300634369,43.82926829268293,91.0,27.5352798053528,90.0,0.0823258900691035,35.36807633250436,1.0,0.79287,570.7317073170734,8000.0,7409.9756690997565,8000.0,0.9742075417800342,491.8288521894211,25.80975609756097,63.0,16.819951338199512,55.0,0.0491501159718669,21.62293976510185,17.053126829268294,48.986,2.371427849064043,43.823,0.0314488919462741,57.396,24.2031399026764,13.573,42.824,11.974749387525929,-57.43902439024396,2505.0,1960.7116788321168,2490.0,-0.0688155270323855,293.6246935571404,0.2439037531976562,0.1991287072727407,0.235621760000049,-0.0010188108080864,0.0485682390732188,4.351219512195115,76.0,70.64111922141119,75.0,0.0078195762576911,2.5972871328573683,62.71488827312148,72.08658029717236,11.52306310188134,60.26253152722953,0.0337593887360604,8188.0,1,0.013060000000000072,-213.70073638195225,18,0.09487222135066986,10
yolo11m.pt,5,65W,16,4529.07109375,27.39181507033348,0.2531016787499765,0.433333175068285,45.70761814446025,91.0,31.927343132606293,89.5,0.0978813737935539,38.33148465153068,1.0,0.7944,604.7099731310254,8000.0,7491.382171645329,8000.0,1.291297842621273,499.7565248322328,28.614256361624783,65.0,20.22776197249881,59.5,0.0617649672068121,25.279562295009963,18.013975185712027,51.758,3.021855366106541,68.614,0.0384425058060533,82.775,27.391815070333493,14.161,49.8525,14.5438485534262,62.6697486960644,2490.0,2021.9172000948315,2490.0,0.1274750379622575,305.06949266801,0.1255522040156828,0.2531016787499765,0.2814378750008472,-0.0011255795168856,0.0319928070336756,4.153168958432126,79.5,73.50522364469734,77.5,0.0084522590539232,2.606531457129252,64.10321964787656,74.69118745954742,6.706299586931172,63.23583605637632,0.0115190673048131,8188.0,2,0.01153000000000004,-215.70150139168715,17,-0.06596769392490387,11
yolo11m.pt,5,65W,15,4766.82109375,25.77520075282307,0.2385649866667032,0.4099373615952557,44.040201005025125,91.0,27.52823086574655,88.0,0.0823911351172898,36.27198619031103,1.0,0.78352,693.4673366834168,8000.0,7478.042659974906,8000.0,1.3063070088605846,499.5176425503132,26.889447236180903,67.0,17.70012547051443,57.0,0.0505424974894756,23.58825308916624,18.68027638190954,48.444,2.882460575670301,60.745000000000005,0.0354117725446697,74.296,25.77520075282309,13.551,48.6812,13.956366794683834,178.0402010050252,2505.0,2044.9121706399,2505.0,0.3006417783391498,284.42912922333795,0.2203847482550315,0.2385649866667032,0.2827882000005047,-0.0016370669038255,0.0525760845290063,3.633165829145725,75.0,70.61229611041405,75.0,0.0072647698070923,2.391746446456636,65.980825387074,94.95912394027184,16.168742663689464,62.87594927312761,0.060050552831056,8188.0,1,0.02241000000000004,-227.21307113140864,16,-0.19827024638652802,12
