model,epochs,tag,batch,n_logs
yolo11n.pt,1,115W,1,7
yolo11n.pt,1,115W,2,1
yolo11n.pt,1,115W,3,1
yolo11n.pt,1,115W,4,1
yolo11n.pt,1,115W,5,1
yolo11n.pt,1,115W,6,1
yolo11n.pt,1,115W,7,1
yolo11n.pt,1,115W,8,7
yolo11n.pt,1,115W,9,1
yolo11n.pt,1,115W,10,1
yolo11n.pt,1,115W,11,1
yolo11n.pt,1,115W,12,1
yolo11n.pt,1,115W,13,1
yolo11n.pt,1,115W,14,1
yolo11n.pt,1,115W,15,1
yolo11n.pt,1,115W,16,7
yolo11n.pt,1,115W,17,1
yolo11n.pt,1,115W,18,1
yolo11n.pt,1,115W,19,1
yolo11n.pt,1,115W,20,1
yolo11n.pt,1,115W,21,1
yolo11n.pt,1,115W,22,1
yolo11n.pt,1,115W,23,1
yolo11n.pt,1,115W,24,1
yolo11n.pt,1,115W,25,1
yolo11n.pt,1,115W,26,1
yolo11n.pt,1,115W,27,1
yolo11n.pt,1,115W,28,1
yolo11n.pt,1,115W,29,1
yolo11n.pt,1,115W,30,1
yolo11n.pt,1,115W,31,1
yolo11n.pt,1,115W,32,6
yolo11n.pt,5,115W,1,4
yolo11n.pt,5,115W,2,1
yolo11n.pt,5,115W,3,1
yolo11n.pt,5,115W,4,1
yolo11n.pt,5,115W,5,1
yolo11n.pt,5,115W,6,1
yolo11n.pt,5,115W,7,1
yolo11n.pt,5,115W,8,2
yolo11n.pt,5,115W,9,1
yolo11n.pt,5,115W,10,1
yolo11n.pt,5,115W,11,1
yolo11n.pt,5,115W,12,1
yolo11n.pt,5,115W,13,1
yolo11n.pt,5,115W,14,1
yolo11n.pt,5,115W,15,1
yolo11n.pt,5,115W,16,2
yolo11n.pt,5,115W,17,1
yolo11n.pt,5,115W,18,1
yolo11n.pt,5,115W,19,1
yolo11n.pt,5,115W,20,1
yolo11n.pt,5,115W,21,1
yolo11n.pt,5,115W,22,1
yolo11n.pt,5,115W,23,1
yolo11n.pt,5,115W,24,1
yolo11n.pt,5,115W,25,1
yolo11n.pt,5,115W,26,1
yolo11n.pt,5,115W,27,1
yolo11n.pt,5,115W,28,1
yolo11n.pt,5,115W,29,1
yolo11n.pt,5,115W,30,1
yolo11n.pt,5,115W,31,1
yolo11n.pt,5,115W,32,2
yolo11n.pt,10,115W,1,4
yolo11n.pt,10,115W,2,1
yolo11n.pt,10,115W,3,1
yolo11n.pt,10,115W,4,1
yolo11n.pt,10,115W,5,1
yolo11n.pt,10,115W,6,1
yolo11n.pt,10,115W,7,1
yolo11n.pt,10,115W,8,4
yolo11n.pt,10,115W,9,1
yolo11n.pt,10,115W,10,1
yolo11n.pt,10,115W,11,1
yolo11n.pt,10,115W,12,1
yolo11n.pt,10,115W,13,1
yolo11n.pt,10,115W,14,1
yolo11n.pt,10,115W,15,1
yolo11n.pt,10,115W,16,4
yolo11n.pt,10,115W,17,1
yolo11n.pt,10,115W,18,1
yolo11n.pt,10,115W,19,1
yolo11n.pt,10,115W,20,1
yolo11n.pt,10,115W,21,1
yolo11n.pt,10,115W,22,1
yolo11n.pt,10,115W,23,1
yolo11n.pt,10,115W,24,1
yolo11n.pt,10,115W,25,1
yolo11n.pt,10,115W,26,1
yolo11n.pt,10,115W,27,1
yolo11n.pt,10,115W,28,1
yolo11n.pt,10,115W,29,1
yolo11n.pt,10,115W,30,1
yolo11n.pt,10,115W,31,1
yolo11n.pt,10,115W,32,4
yolo11n.pt,20,115W,1,2
yolo11n.pt,20,115W,2,1
yolo11n.pt,20,115W,3,1
yolo11n.pt,20,115W,4,1
yolo11n.pt,20,115W,5,1
yolo11n.pt,20,115W,6,1
yolo11n.pt,20,115W,7,1
yolo11n.pt,20,115W,8,2
yolo11n.pt,20,115W,9,1
yolo11n.pt,20,115W,10,1
yolo11n.pt,20,115W,11,1
yolo11n.pt,20,115W,12,1
yolo11n.pt,20,115W,13,1
yolo11n.pt,20,115W,14,1
yolo11n.pt,20,115W,15,1
yolo11n.pt,20,115W,16,2
yolo11n.pt,20,115W,17,1
yolo11n.pt,20,115W,18,1
yolo11n.pt,20,115W,19,1
yolo11n.pt,20,115W,20,1
yolo11n.pt,20,115W,21,1
yolo11n.pt,20,115W,22,1
yolo11n.pt,20,115W,23,1
yolo11n.pt,20,115W,24,1
yolo11n.pt,20,115W,25,1
yolo11n.pt,20,115W,26,1
yolo11n.pt,20,115W,27,1
yolo11n.pt,20,115W,28,1
yolo11n.pt,20,115W,29,1
yolo11n.pt,20,115W,30,1
yolo11n.pt,20,115W,31,1
yolo11n.pt,20,115W,32,2
yolo11s.pt,1,115W,1,4
yolo11s.pt,1,115W,2,1
yolo11s.pt,1,115W,3,1
yolo11s.pt,1,115W,4,1
yolo11s.pt,1,115W,5,1
yolo11s.pt,1,115W,6,1
yolo11s.pt,1,115W,7,1
yolo11s.pt,1,115W,8,4
yolo11s.pt,1,115W,9,1
yolo11s.pt,1,115W,10,1
yolo11s.pt,1,115W,11,1
yolo11s.pt,1,115W,12,1
yolo11s.pt,1,115W,13,1
yolo11s.pt,1,115W,14,1
yolo11s.pt,1,115W,15,1
yolo11s.pt,1,115W,16,4
yolo11s.pt,1,115W,17,1
yolo11s.pt,1,115W,18,1
yolo11s.pt,1,115W,19,1
yolo11s.pt,1,115W,20,1
yolo11s.pt,1,115W,21,1
yolo11s.pt,1,115W,22,1
yolo11s.pt,1,115W,23,1
yolo11s.pt,1,115W,24,1
yolo11s.pt,1,115W,25,1
