model,epochs,tag,batch,n_logs
yolo11n.pt,1,65W,1,5
yolo11n.pt,1,65W,8,5
yolo11n.pt,1,65W,16,5
yolo11n.pt,1,65W,32,2
yolo11n.pt,5,65W,1,2
yolo11n.pt,5,65W,8,2
yolo11n.pt,5,65W,16,2
yolo11n.pt,5,65W,32,2
yolo11n.pt,10,65W,1,4
yolo11n.pt,10,65W,8,4
yolo11n.pt,10,65W,16,4
yolo11n.pt,10,65W,32,4
yolo11n.pt,20,65W,1,2
yolo11n.pt,20,65W,8,2
yolo11n.pt,20,65W,16,2
yolo11n.pt,20,65W,32,2
yolo11s.pt,1,65W,1,4
yolo11s.pt,1,65W,8,4
yolo11s.pt,1,65W,16,4
yolo11s.pt,1,65W,32,4
yolo11s.pt,5,65W,1,2
yolo11s.pt,5,65W,8,2
yolo11s.pt,5,65W,16,2
yolo11s.pt,5,65W,32,2
yolo11s.pt,10,65W,1,4
yolo11s.pt,10,65W,8,4
yolo11s.pt,10,65W,16,4
yolo11s.pt,10,65W,32,4
yolo11s.pt,20,65W,1,2
yolo11s.pt,20,65W,8,2
yolo11s.pt,20,65W,16,2
yolo11s.pt,20,65W,32,2
yolo11m.pt,1,65W,1,4
yolo11m.pt,1,65W,8,4
yolo11m.pt,1,65W,16,4
yolo11m.pt,1,65W,32,4
yolo11m.pt,5,65W,1,2
yolo11m.pt,5,65W,8,2
yolo11m.pt,5,65W,16,2
yolo11m.pt,5,65W,32,2
yolo11m.pt,10,65W,1,4
yolo11m.pt,10,65W,8,4
yolo11m.pt,10,65W,16,4
yolo11m.pt,10,65W,32,4
yolo11m.pt,20,65W,1,2
yolo11m.pt,20,65W,8,2
yolo11m.pt,20,65W,16,2
yolo11m.pt,20,65W,32,2
