model,epochs,tag,batch,n_logs
yolo11n.pt,10,65W,29,0
yolo11n.pt,10,65W,31,0
yolo11n.pt,20,65W,21,0
yolo11s.pt,20,65W,12,0
yolo11m.pt,10,65W,12,0
yolo11x.pt,5,65W,16,0
yolo11x.pt,20,65W,10,0
yolo11x.pt,20,65W,11,0
yolo11x.pt,20,65W,12,0
yolo11x.pt,20,65W,13,0
yolo11x.pt,20,65W,14,0
yolo11x.pt,20,65W,15,0
yolo11x.pt,20,65W,16,0
yolo11x.pt,20,65W,17,0
yolo11x.pt,20,65W,18,0
yolo11x.pt,20,65W,19,0
yolo11x.pt,20,65W,20,0
yolo11x.pt,20,65W,21,0
yolo11x.pt,20,65W,22,0
yolo11x.pt,20,65W,23,0
yolo11x.pt,20,65W,24,0
yolo11x.pt,20,65W,25,0
yolo11x.pt,20,65W,26,0
yolo11x.pt,20,65W,27,0
yolo11x.pt,20,65W,28,0
yolo11x.pt,20,65W,29,0
yolo11x.pt,20,65W,30,0
yolo11x.pt,20,65W,31,0
yolo11x.pt,20,65W,32,0
