model,epochs,batch,115W,65W
yolo11m.pt,1,1,21.763111070919592,20.691369344165995
yolo11m.pt,1,2,21.240953237410057,19.216521126760533
yolo11m.pt,1,3,21.343076767676763,18.92637318255251
yolo11m.pt,1,4,21.063471698113226,18.998260575296133
yolo11m.pt,1,5,21.75661538461536,18.57697704918032
yolo11m.pt,1,6,20.843135699373697,18.468981907894765
yolo11m.pt,1,7,21.146302771855,18.83137435897434
yolo11m.pt,1,8,22.139377099047053,19.50502600033828
yolo11m.pt,1,9,21.03214224137931,18.154362244897964
yolo11m.pt,1,10,21.209449781659387,18.433801393728235
yolo11m.pt,1,11,21.766389130434806,17.728781034482736
yolo11m.pt,1,12,21.16136225596529,18.94074471830985
yolo11m.pt,1,13,21.17285097192225,18.65540957446808
yolo11m.pt,1,14,21.836292473118288,17.763307692307688
yolo11m.pt,1,15,22.191493534482753,18.2035547826087
yolo11m.pt,1,16,22.675584776326204,19.31571364201563
yolo11m.pt,1,17,21.41850980392155,18.209071186440635
yolo11m.pt,1,18,21.43212008733627,18.378669580419587
yolo11m.pt,1,19,22.55850217391308,18.210287456445982
yolo11m.pt,1,20,21.54811790393016,17.694710296684104
yolo11m.pt,1,21,21.26587964989059,18.125785095320623
yolo11m.pt,1,22,22.204083700440517,17.633721476510058
yolo11m.pt,1,23,22.1686797385621,17.976834507042263
yolo11m.pt,1,24,22.031617710583134,17.869437389770727
yolo11m.pt,1,25,21.896103671706253,17.39301369863016
yolo11m.pt,1,26,21.452812636165604,17.34896219931272
yolo11m.pt,1,27,21.443395248380146,16.821742556917687
yolo11m.pt,1,28,21.24888744588744,17.22900000000001
yolo11m.pt,1,29,21.522721491228094,17.41891358024689
yolo11m.pt,1,30,21.446428571428548,17.296524647887317
yolo11m.pt,1,31,21.180930957683735,17.335632058287803
yolo11m.pt,1,32,21.845712915914465,18.365001824324416
yolo11m.pt,5,1,25.5367301173315,24.98029064414069
yolo11m.pt,5,2,31.592061099796307,27.309076534903337
yolo11m.pt,10,1,26.854907617072335,25.412601931136262
yolo11m.pt,10,2,34.81026990632314,30.24845307769936
yolo11m.pt,20,1,27.92675032556668,26.42469489734024
yolo11n.pt,1,1,15.565465053605871,15.038324300271674
yolo11n.pt,1,2,16.16443813387424,14.903959633027519
yolo11n.pt,1,3,17.35190163934426,16.192203448275865
yolo11n.pt,1,4,16.054798245614013,14.700456211812622
yolo11n.pt,1,5,16.983082608695646,15.734050561797757
yolo11n.pt,1,6,17.31216035634744,15.45968342644322
yolo11n.pt,1,7,17.15852954545453,15.789555555555546
yolo11n.pt,1,8,16.273369298485612,15.069407788482906
yolo11n.pt,1,9,16.946531590413944,15.250735955056173
yolo11n.pt,1,10,17.196943310657606,15.330321705426348
yolo11n.pt,1,11,16.8850324825986,15.441665399239547
yolo11n.pt,1,12,17.031082159624415,15.364673267326733
yolo11n.pt,1,13,16.740805869074496,14.577216962524679
yolo11n.pt,1,14,16.85753537735849,14.52637977099236
yolo11n.pt,1,15,16.96880188679243,14.408456349206356
yolo11n.pt,1,16,16.45884636247587,15.226819900000498
yolo11n.pt,1,17,16.978934117647054,14.655222222222228
yolo11n.pt,1,18,16.641919047619027,14.504144841269852
yolo11n.pt,1,19,16.564152019002375,14.311804391217557
yolo11n.pt,1,20,16.632577197149637,14.19209330628803
yolo11n.pt,1,21,16.65759574468084,14.090907843137247
yolo11n.pt,1,22,16.56410023866349,14.362796780684118
yolo11n.pt,1,23,16.67135849056605,14.283061143984234
yolo11n.pt,1,24,16.567316784869984,14.327841897233201
yolo11n.pt,1,25,16.52012790697672,14.321992217898837
yolo11n.pt,1,26,16.602303317535537,14.254803180914502
yolo11n.pt,1,27,16.61146171693733,14.353581532416504
yolo11n.pt,1,28,16.649717339667433,14.338699801192833
yolo11n.pt,1,29,16.705680094786736,14.073927855711412
yolo11n.pt,1,30,16.616885167464112,14.254772177419364
yolo11n.pt,1,31,16.807956730769234,14.046019999999992
yolo11n.pt,1,32,16.733140860980253,15.688061125319697
yolo11n.pt,5,1,17.640739935179152,17.485348513594992
