model,epochs,batch,115W,65W
yolo11m.pt,1,25,88.564,87.69
yolo11m.pt,1,32,75.859,86.734
yolo11m.pt,5,14,84.655,85.32
yolo11m.pt,5,20,78.281,87.938
yolo11m.pt,10,8,71.86,87.244
yolo11m.pt,10,12,77.328,86.475
yolo11m.pt,10,19,91.291,88.964
yolo11m.pt,10,22,89.141,89.672
yolo11m.pt,10,24,93.123,89.677
yolo11m.pt,10,30,114.273,100.891
yolo11m.pt,10,32,98.198,96.686
yolo11m.pt,20,7,90.627,85.663
yolo11m.pt,20,8,82.723,86.332
yolo11m.pt,20,10,74.977,85.778
yolo11m.pt,20,11,76.065,90.505
yolo11m.pt,20,12,95.361,89.025
yolo11m.pt,20,14,77.835,85.037
yolo11m.pt,20,19,88.983,87.337
yolo11m.pt,20,23,95.021,94.304
yolo11m.pt,20,26,94.855,87.798
yolo11m.pt,20,28,94.808,87.071
yolo11n.pt,5,30,51.775,88.205
yolo11n.pt,10,27,51.341,85.921
yolo11n.pt,20,5,37.828,590.006
yolo11n.pt,20,16,48.77,86.608
yolo11s.pt,10,10,58.056,85.312
yolo11s.pt,10,13,60.002,87.217
yolo11s.pt,10,16,64.709,87.645
yolo11s.pt,10,20,64.783,113.829
yolo11s.pt,10,32,84.22,85.848
yolo11s.pt,20,15,62.808,87.821
yolo11s.pt,20,16,67.654,90.577
yolo11s.pt,20,18,63.989,92.227
yolo11s.pt,20,19,63.985,86.014
yolo11s.pt,20,21,64.772,86.544
yolo11s.pt,20,23,67.578,85.155
yolo11s.pt,20,27,67.969,590.006
yolo11x.pt,1,15,92.312,89.047
yolo11x.pt,1,21,69.238,90.453
yolo11x.pt,1,30,102.495,112.373
yolo11x.pt,5,10,96.635,89.994
yolo11x.pt,5,11,97.38,85.814
yolo11x.pt,5,14,96.193,88.14
yolo11x.pt,5,17,95.16,86.388
yolo11x.pt,5,18,92.563,97.019
yolo11x.pt,5,20,90.923,86.484
yolo11x.pt,5,22,96.825,85.617
yolo11x.pt,5,23,88.295,93.48
yolo11x.pt,5,24,90.037,94.55
yolo11x.pt,5,27,86.019,91.575
yolo11x.pt,5,28,88.913,85.086
yolo11x.pt,5,29,94.271,92.322
yolo11x.pt,5,31,90.489,97.038
yolo11x.pt,5,32,98.769,590.006
yolo11x.pt,10,7,96.838,88.09
yolo11x.pt,10,14,101.856,88.254
yolo11x.pt,10,15,106.616,93.303
yolo11x.pt,10,16,100.251,88.822
yolo11x.pt,10,17,96.369,92.592
yolo11x.pt,10,18,97.529,98.449
yolo11x.pt,10,19,94.928,91.056
yolo11x.pt,10,20,90.558,100.449
yolo11x.pt,10,21,98.981,97.637
yolo11x.pt,10,22,97.451,94.21
yolo11x.pt,10,23,94.467,113.698
yolo11x.pt,10,24,102.023,103.382
yolo11x.pt,10,26,94.553,108.244
yolo11x.pt,10,27,100.463,88.484
yolo11x.pt,10,28,88.791,93.741
yolo11x.pt,10,29,102.731,89.104
yolo11x.pt,10,30,86.079,99.611
yolo11x.pt,10,32,98.028,104.322
yolo11x.pt,20,7,98.636,87.314
yolo11x.pt,20,9,95.706,86.591
yolo11x.pt,20,10,98.119,87.752
yolo11x.pt,20,11,95.852,90.513
yolo11x.pt,20,13,96.61,91.027
yolo11x.pt,20,16,96.944,86.814
yolo11x.pt,20,17,105.452,94.317
yolo11x.pt,20,18,95.701,92.436
yolo11x.pt,20,19,107.323,93.274
yolo11x.pt,20,20,101.729,87.323
yolo11x.pt,20,22,88.335,108.408
yolo11x.pt,20,23,106.931,95.809
yolo11x.pt,20,24,105.192,89.084
yolo11x.pt,20,25,92.244,96.309
yolo11x.pt,20,26,90.99,94.91
yolo11x.pt,20,27,110.364,96.72
yolo11x.pt,20,28,96.895,106.88
yolo11x.pt,20,29,92.675,99.929
yolo11x.pt,20,30,93.765,91.948
yolo11x.pt,20,31,104.194,98.529
yolo11x.pt,20,32,106.313,93.397
