model,epochs,tag,recommended_batch,pred_score
yolo11m.pt,1,115W,1,-0.08821577578783035
yolo11m.pt,5,115W,1,-0.08821577578783035
yolo11m.pt,10,115W,1,-0.08821577578783035
yolo11m.pt,20,115W,1,-0.08821577578783035
yolo11n.pt,1,115W,2,-0.08821577578783035
yolo11n.pt,5,115W,2,-0.08821577578783035
yolo11n.pt,10,115W,2,-0.08821577578783035
yolo11n.pt,20,115W,2,-0.08821577578783035
yolo11s.pt,1,115W,1,-0.08821577578783035
yolo11s.pt,5,115W,1,-0.08821577578783035
yolo11s.pt,10,115W,1,-0.08821577578783035
yolo11s.pt,20,115W,1,-0.08821577578783035
yolo11x.pt,1,115W,1,-0.08821577578783035
yolo11x.pt,5,115W,1,-0.08821577578783035
yolo11x.pt,5,65W,1,-0.08821577578783035
yolo11x.pt,10,115W,1,-0.08821577578783035
yolo11x.pt,10,65W,1,-0.08821577578783035
yolo11x.pt,20,115W,26,-0.05228535085916519
yolo11x.pt,20,65W,1,-0.08821577578783035
