feature,mean_abs_shap
batch,0.08951353
avg_mem,0.006192634
energy_per_img,0.0022580123
throughput_var_ratio,0.0014440297
mem_util_std,0.001400853
pwr_p95,0.0013098136
step_time_std,0.0012571553
throughput,0.0011036809
gpu_util_std,0.0009219857
power_range,0.0008703212
temp_slope,0.00086434017
power_peak_to_mean,0.0008493056
mem_clock_mean,0.0008163934
mem_util_p95,0.00079767767
power_limit_w,0.00062470697
power_slope,0.000610777
step_time_slope,0.00060855516
temp_mean,0.0005515333
step_time_p95,0.00054138555
pwr_std,0.00050719996
gpu_util_slope,0.00040151828
sm_clock_mean,0.00034174454
gpu_util_p95,0.00029072957
mem_util_mean,0.00022115132
step_time_cv,0.00015763717
pwr_mean,0.00014933651
gpu_util_mean,0.00014509872
temp_max,9.185329e-05
vram_total_mb,0.0
is65W,0.0
