feature,mean_abs_shap
batch,0.0482558
thr_p95,0.010181701
avg_mem,0.007549923
inv_step_time,0.006105125
step_time_mean,0.0055383164
thr_mean,0.003899401
step_time_p95,0.0016439047
energy_per_img,0.0015204963
throughput,0.0009525098
throughput_var_ratio,0.0006922834
step_time_cv,0.000670059
power_peak_to_mean,0.00061955163
mem_util_slope,0.0005893125
sm_clock_slope,0.0004420589
eff_tp_mem,0.00038277623
power_limit_w,0.00033595617
gpu_util_p95,0.00033377841
thr_std,0.0002880126
power_range,0.0002770555
mem_util_p95,0.00027213123
temp_std,0.00021738159
mem_util_std,0.00020996311
power_slope,0.0002073694
gpu_util_slope,0.00016639981
temp_p95,0.00016579765
pwr_p95,0.00013362766
step_time_std,0.00012800696
pwr_std,0.00010554621
pwr_mean,7.0096416e-05
gpu_util_std,0.0
gpu_util_mean,0.0
temp_mean,0.0
temp_slope,0.0
mem_clock_slope,0.0
mem_clock_std,0.0
mem_clock_mean,0.0
sm_clock_std,0.0
sm_clock_p95,0.0
sm_clock_mean,0.0
mem_util_mean,0.0
mem_clock_p95,0.0
step_time_slope,0.0
eff_tp_watt,0.0
pwr_cv,0.0
vram_total_mb,0.0
n_logs,0.0
