eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_ndcg1,avg_best_iter
0.1,4,0.8,1.0,1.0,1.0,0.9333333333333332,0.9416524216524216,1
0.1,8,1.0,1.0,1.0,1.0,0.9333333333333332,0.9030761353341997,1
0.05,4,0.8,1.0,5.0,5.0,0.9,1.0,4
0.05,6,0.8,1.0,1.0,1.0,0.8666666666666666,0.9416524216524216,1
0.05,6,1.0,0.8,1.0,1.0,0.8666666666666666,0.9416524216524216,5
0.1,4,1.0,0.8,1.0,1.0,0.8666666666666666,0.9374847374847374,2
0.1,4,1.0,1.0,1.0,1.0,0.8666666666666666,0.9374847374847374,0
0.1,8,0.8,0.8,1.0,1.0,0.8666666666666666,0.9374847374847374,7
0.1,8,0.8,1.0,1.0,1.0,0.8666666666666666,0.9374847374847374,0
0.05,8,1.0,1.0,1.0,1.0,0.8666666666666666,0.9030761353341997,0
0.05,4,1.0,0.8,1.0,5.0,0.8333333333333333,0.9374847374847374,1
0.1,8,0.8,0.8,1.0,5.0,0.8333333333333333,0.9374847374847374,4
0.1,4,1.0,1.0,5.0,1.0,0.8333333333333333,0.9040206851971557,0
0.1,4,0.8,0.8,5.0,5.0,0.8333333333333333,0.9031190868583288,6
0.05,4,0.8,0.8,1.0,1.0,0.8333333333333333,0.891399621558933,2
0.1,4,0.8,0.8,1.0,1.0,0.8333333333333333,0.887481685540649,2
0.05,6,0.8,0.8,5.0,5.0,0.8333333333333333,0.839846942209147,0
0.05,8,0.8,0.8,5.0,5.0,0.8333333333333333,0.839846942209147,0
0.05,6,1.0,1.0,1.0,1.0,0.8,0.9416524216524216,1
0.05,4,1.0,0.8,1.0,1.0,0.7666666666666666,0.9664041994750656,0
0.1,4,0.8,1.0,1.0,5.0,0.7666666666666666,0.94998778998779,0
0.05,8,0.8,1.0,1.0,1.0,0.7666666666666666,0.9416524216524216,1
0.1,8,1.0,0.8,1.0,1.0,0.7666666666666666,0.9416524216524216,4
0.05,4,0.8,0.8,1.0,5.0,0.7666666666666666,0.9374847374847374,2
0.05,4,1.0,1.0,1.0,1.0,0.7666666666666666,0.9374847374847374,0
0.1,4,0.8,1.0,5.0,1.0,0.7666666666666666,0.9374847374847374,6
0.1,4,1.0,0.8,1.0,5.0,0.7666666666666666,0.9374847374847374,1
0.1,6,0.8,1.0,1.0,1.0,0.7666666666666666,0.9374847374847374,0
0.1,6,1.0,0.8,1.0,1.0,0.7666666666666666,0.9354008954008954,5
0.1,6,0.8,1.0,5.0,1.0,0.7666666666666666,0.9249954220838674,1
0.1,8,0.8,1.0,5.0,1.0,0.7666666666666666,0.9249954220838674,2
0.1,8,1.0,0.8,5.0,1.0,0.7666666666666666,0.9019368431133138,2
0.1,4,0.8,1.0,5.0,5.0,0.7666666666666666,0.887481685540649,1
0.05,4,1.0,0.8,5.0,1.0,0.7666666666666666,0.8850071946134939,1
0.1,6,1.0,0.8,5.0,1.0,0.7666666666666666,0.8850071946134939,0
0.05,6,0.8,0.8,1.0,1.0,0.7666666666666666,0.8695232863333944,4
0.05,6,1.0,0.8,5.0,5.0,0.7666666666666666,0.8690207313829361,1
0.05,8,1.0,0.8,5.0,5.0,0.7666666666666666,0.8690207313829361,1
0.1,6,1.0,0.8,1.0,5.0,0.7666666666666666,0.8511627906976745,3
0.05,8,1.0,1.0,1.0,5.0,0.7666666666666666,0.8406038243430661,1
0.1,6,0.8,0.8,1.0,1.0,0.7666666666666666,0.8406038243430661,3
0.1,6,1.0,1.0,1.0,5.0,0.7666666666666666,0.8406038243430661,5
0.05,8,0.8,0.8,1.0,1.0,0.7666666666666666,0.8382721390595407,11
0.05,6,0.8,1.0,5.0,1.0,0.7666666666666666,0.8382599312831871,2
0.1,4,1.0,1.0,1.0,5.0,0.7666666666666666,0.8274855841530975,0
0.05,4,1.0,1.0,5.0,1.0,0.7666666666666666,0.7894532414217453,0
0.05,4,0.8,1.0,1.0,5.0,0.7333333333333333,0.9374847374847374,1
0.1,4,1.0,0.8,5.0,5.0,0.7333333333333333,0.9374847374847374,1
0.1,6,1.0,1.0,5.0,1.0,0.7333333333333333,0.8519685039370077,0
0.1,6,1.0,0.8,5.0,5.0,0.7333333333333333,0.8406038243430661,0
0.1,8,1.0,0.8,5.0,5.0,0.7333333333333333,0.8406038243430661,0
0.05,4,0.8,0.8,5.0,5.0,0.7333333333333333,0.839846942209147,0
0.05,4,0.8,1.0,5.0,1.0,0.7333333333333333,0.8382599312831871,4
0.05,4,1.0,1.0,1.0,5.0,0.7333333333333333,0.8274855841530975,0
0.05,8,1.0,0.8,1.0,1.0,0.7,0.9374847374847374,0
0.1,8,1.0,0.8,1.0,5.0,0.7,0.8996032472685102,0
