eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_ndcg1,avg_best_iter
0.05,6,0.8,1.0,1.0,1.0,0.8095238095238095,0.9226190475752534,6
0.1,6,0.8,1.0,1.0,1.0,0.7761904761904762,0.9023809523160924,12
0.05,4,1.0,0.8,1.0,1.0,0.7761904761904762,0.900595238041188,11
0.1,6,0.8,0.8,5.0,1.0,0.7714285714285714,0.9166666666045785,20
0.1,4,1.0,0.8,1.0,1.0,0.7714285714285714,0.9107142856455454,12
0.1,6,1.0,0.8,1.0,1.0,0.7714285714285714,0.9023809523122119,7
0.05,4,0.8,0.8,1.0,5.0,0.7476190476190476,0.9107142856649478,16
0.1,6,1.0,0.8,1.0,5.0,0.7476190476190476,0.869642855378056,6
0.1,8,0.8,0.8,1.0,5.0,0.7476190476190476,0.8505208332368056,9
0.05,4,1.0,1.0,5.0,5.0,0.7428571428571429,0.8940476189905201,16
0.05,6,1.0,0.8,5.0,5.0,0.7428571428571429,0.8857142856533062,16
0.1,8,1.0,1.0,1.0,5.0,0.7428571428571429,0.8839285713667604,15
0.05,4,1.0,0.8,5.0,5.0,0.7428571428571429,0.8726190475519703,22
0.1,4,0.8,0.8,1.0,1.0,0.7428571428571428,0.927380952327734,16
0.1,8,1.0,0.8,1.0,1.0,0.7428571428571428,0.904761904694273,13
0.05,8,1.0,1.0,1.0,5.0,0.7428571428571428,0.8880952380237257,5
0.05,4,0.8,1.0,1.0,1.0,0.7428571428571428,0.8857142856416648,5
0.05,4,0.8,0.8,1.0,1.0,0.7428571428571428,0.875595238017905,11
0.05,4,1.0,0.8,1.0,5.0,0.7428571428571428,0.875595238017905,4
0.05,4,1.0,1.0,1.0,5.0,0.7428571428571428,0.875595238017905,3
0.05,8,1.0,0.8,1.0,5.0,0.7428571428571428,0.875595238017905,6
0.1,4,1.0,0.8,1.0,5.0,0.7428571428571428,0.8672619046845718,15
0.05,8,0.8,1.0,1.0,1.0,0.7428571428571428,0.8559523808659011,6
