eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_ndcg1,avg_best_iter
0.1,6,1.0,0.8,5.0,5.0,0.8428571428571429,0.9059523809085868,17
0.1,8,0.8,1.0,5.0,5.0,0.8380952380952381,0.9357142856843502,20
0.05,6,0.8,0.8,5.0,5.0,0.8095238095238095,0.9357142856843502,13
0.05,8,0.8,0.8,5.0,1.0,0.8095238095238095,0.9357142856843502,6
0.05,8,0.8,1.0,5.0,5.0,0.8095238095238095,0.9357142856843502,22
0.1,6,1.0,1.0,5.0,5.0,0.8095238095238095,0.9357142856843502,13
0.1,8,1.0,1.0,5.0,5.0,0.8095238095238095,0.9357142856843502,8
0.1,4,0.8,1.0,5.0,5.0,0.8095238095238095,0.9273809523471364,18
0.05,6,1.0,1.0,5.0,5.0,0.8095238095238095,0.9058035713847078,19
0.05,4,0.8,0.8,5.0,5.0,0.8047619047619048,0.9273809523471364,14
0.1,8,0.8,0.8,5.0,5.0,0.8047619047619048,0.9273809523471364,11
0.05,6,0.8,0.8,5.0,1.0,0.8047619047619048,0.9195684523434984,6
0.05,4,1.0,0.8,5.0,5.0,0.8047619047619048,0.8888392856625223,13
0.05,8,1.0,1.0,1.0,1.0,0.8047619047619048,0.8888392856625223,11
0.05,8,1.0,1.0,5.0,1.0,0.8047619047619048,0.8888392856625223,8
0.1,6,0.8,1.0,5.0,5.0,0.8047619047619048,0.8888392856625223,23
0.1,4,1.0,1.0,5.0,5.0,0.780952380952381,0.9214285713919838,12
0.05,8,1.0,0.8,5.0,5.0,0.780952380952381,0.9075892856712535,17
0.1,4,0.8,1.0,5.0,1.0,0.780952380952381,0.9058035713847078,7
0.05,6,0.8,1.0,1.0,1.0,0.7761904761904763,0.9273809523471364,13
0.05,4,0.8,1.0,5.0,1.0,0.7761904761904763,0.9200892856770743,12
0.1,6,1.0,1.0,5.0,1.0,0.7761904761904763,0.9200892856770743,10
0.1,6,0.8,1.0,1.0,1.0,0.7761904761904763,0.9153273809129523,8
