eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_ndcg1,avg_best_iter
0.08,4,1.0,0.7,5.0,5.0,0.8428571428571429,0.9380952380664114,13
0.03,6,0.9,0.7,5.0,5.0,0.8428571428571429,0.9130952380547699,31
0.05,6,0.9,0.8,5.0,5.0,0.8428571428571429,0.9052827380511319,17
0.08,8,1.0,1.0,5.0,10.0,0.8095238095238095,0.9224702380591354,21
0.1,6,0.8,1.0,5.0,5.0,0.8095238095238095,0.9130952380547699,11
0.03,6,1.0,0.7,5.0,5.0,0.8095238095238095,0.9130952380547699,25
0.05,6,1.0,0.8,5.0,10.0,0.8095238095238095,0.9052827380511319,15
0.03,6,0.8,0.7,5.0,10.0,0.8095238095238095,0.9052827380511319,35
0.03,4,0.8,1.0,5.0,1.0,0.780952380952381,0.9219494047255596,8
0.05,10,1.0,0.7,5.0,1.0,0.780952380952381,0.915476190436831,15
0.03,6,1.0,0.9,5.0,5.0,0.780952380952381,0.9130952380547699,28
0.05,10,0.8,0.9,5.0,1.0,0.780952380952381,0.9130952380547699,5
0.03,8,0.8,1.0,5.0,10.0,0.780952380952381,0.9071428570996172,31
0.05,4,0.7,1.0,2.0,1.0,0.780952380952381,0.9052827380511319,8
0.1,4,1.0,0.9,5.0,10.0,0.780952380952381,0.9052827380511319,9
0.05,4,0.8,1.0,5.0,5.0,0.780952380952381,0.8999999999534338,10
0.03,10,0.7,0.7,2.0,1.0,0.780952380952381,0.8909970237587654,25
0.05,10,0.8,0.9,5.0,10.0,0.780952380952381,0.8849702380416732,17
0.08,4,0.7,1.0,1.0,1.0,0.780952380952381,0.8760416666089441,10
0.03,6,1.0,0.8,2.0,1.0,0.7761904761904763,0.9380952380664114,3
0.05,8,0.8,1.0,2.0,1.0,0.7761904761904763,0.9052827380511319,21
0.08,6,0.8,0.8,1.0,1.0,0.7761904761904763,0.9052827380511319,24
0.03,6,0.7,0.7,5.0,10.0,0.7761904761904763,0.9052827380511319,34
0.03,8,1.0,0.9,1.0,1.0,0.7761904761904763,0.9052827380511319,14
0.03,8,0.8,0.7,0.5,1.0,0.7761904761904763,0.9052827380511319,18
0.1,4,0.8,0.8,5.0,10.0,0.7761904761904763,0.9052827380511319,19
0.05,6,1.0,0.7,2.0,1.0,0.7761904761904763,0.8906994047110077,11
0.08,8,1.0,0.8,1.0,1.0,0.7761904761904763,0.8901785713774318,11
0.05,8,0.9,0.8,1.0,1.0,0.7761904761904763,0.8901785713774318,8
0.05,6,0.9,0.8,1.0,1.0,0.7761904761904763,0.881845238040218,5
0.08,6,1.0,1.0,2.0,5.0,0.7761904761904763,0.87403273803658,12
0.1,8,0.7,0.7,2.0,10.0,0.7761904761904762,0.9130952380547699,31
0.03,4,1.0,0.7,1.0,10.0,0.7523809523809525,0.8581473213625161,12
0.08,10,1.0,0.9,5.0,1.0,0.7523809523809524,0.9238095237740449,11
0.1,6,0.8,1.0,5.0,10.0,0.7523809523809524,0.8838541666125821,16
0.03,8,0.9,0.7,2.0,1.0,0.7476190476190476,0.9219494047255596,7
0.08,10,0.8,0.8,5.0,10.0,0.7476190476190476,0.9214285713919838,23
0.1,4,0.9,0.9,0.5,1.0,0.7476190476190476,0.9166666666278616,9
0.03,8,1.0,1.0,0.5,1.0,0.7476190476190476,0.9052827380511319,14
0.1,10,0.8,0.8,5.0,10.0,0.7476190476190476,0.9052827380511319,17
0.08,8,0.9,0.8,0.5,1.0,0.7476190476190476,0.8999999999534338,14
0.03,10,0.8,0.8,2.0,1.0,0.7476190476190476,0.8985119047146457,4
0.08,6,0.7,0.9,1.0,5.0,0.7476190476190476,0.8938244047124628,21
0.1,6,0.7,1.0,1.0,1.0,0.7476190476190476,0.8843749999461579,15
0.08,6,0.8,0.7,1.0,1.0,0.7476190476190476,0.8838541666125821,13
0.03,6,0.8,0.9,2.0,1.0,0.7476190476190476,0.8745535713701559,4
0.03,6,0.8,0.7,2.0,1.0,0.7476190476190476,0.87403273803658,14
0.03,10,0.9,0.8,2.0,5.0,0.7476190476190476,0.87403273803658,40
0.1,8,1.0,0.8,1.0,10.0,0.7476190476190476,0.87403273803658,21
0.03,4,1.0,0.9,2.0,1.0,0.7476190476190476,0.8677083332717302,4
0.08,6,0.8,0.7,0.5,1.0,0.7476190476190476,0.8588541666009405,11
0.1,10,0.7,0.7,0.5,1.0,0.7476190476190476,0.8304315475400863,5
0.1,6,0.9,0.9,0.5,10.0,0.7476190476190475,0.9297619047291976,29
0.03,6,0.8,0.7,0.5,1.0,0.7476190476190475,0.9052827380511319,26
0.1,6,1.0,1.0,0.5,5.0,0.7476190476190475,0.8826636904215516,19
0.03,10,0.9,0.7,2.0,1.0,0.7428571428571429,0.9219494047255596,10
0.08,4,0.8,0.9,5.0,5.0,0.7428571428571429,0.9214285713919838,16
0.05,6,0.8,0.9,0.5,1.0,0.7428571428571429,0.9130952380547699,6
0.1,8,1.0,0.8,0.5,1.0,0.7428571428571429,0.9052827380511319,15
0.1,8,1.0,0.7,0.5,5.0,0.7428571428571429,0.9052827380511319,16
0.08,8,0.9,0.8,1.0,5.0,0.7428571428571429,0.8992559523340397,16
0.1,6,0.8,0.8,5.0,5.0,0.7238095238095238,0.8880952380431284,14
0.1,10,0.9,0.9,5.0,5.0,0.7238095238095238,0.8767113094663987,15
0.1,4,0.8,0.9,5.0,10.0,0.719047619047619,0.9214285713919838,19
0.03,8,1.0,1.0,1.0,1.0,0.719047619047619,0.904761904717556,9
0.05,8,0.7,0.9,5.0,10.0,0.719047619047619,0.8999999999534338,29
0.08,6,0.8,1.0,2.0,1.0,0.719047619047619,0.8843749999461579,15
0.08,4,1.0,0.8,0.5,10.0,0.719047619047619,0.8656994046993661,9
0.08,4,1.0,1.0,1.0,10.0,0.719047619047619,0.8650297618419115,12
0.03,4,1.0,1.0,1.0,5.0,0.719047619047619,0.8611607142210623,33
0.1,8,0.9,0.9,1.0,10.0,0.719047619047619,0.8602678570777893,28
0.03,4,0.8,0.8,1.0,1.0,0.719047619047619,0.8597470237442135,10
0.05,8,1.0,0.8,2.0,10.0,0.719047619047619,0.855654761837546,17
0.03,8,1.0,0.7,2.0,5.0,0.719047619047619,0.846577380880938,30
0.1,6,1.0,0.8,1.0,10.0,0.719047619047619,0.8389880951631182,15
0.08,10,0.9,0.9,2.0,10.0,0.719047619047619,0.8316964284930561,11
0.03,4,0.8,0.7,1.0,5.0,0.719047619047619,0.8309523808736621,31
0.03,6,0.8,0.8,1.0,5.0,0.719047619047619,0.825148809442388,19
0.08,4,1.0,0.9,5.0,1.0,0.7190476190476189,0.8857142856610671,8
0.03,4,0.9,0.7,2.0,1.0,0.7142857142857143,0.8838541666125821,13
0.1,4,0.7,0.8,1.0,1.0,0.7142857142857143,0.8526041665980302,11
0.1,4,0.8,1.0,0.5,5.0,0.7142857142857142,0.8974702380474939,14
0.1,10,0.7,0.7,1.0,1.0,0.7142857142857142,0.8901785713774318,16
0.03,4,0.8,0.7,1.0,1.0,0.7142857142857142,0.8838541666125821,10
0.08,8,0.7,0.9,2.0,10.0,0.7142857142857142,0.8632440475553658,11
0.08,8,0.8,1.0,1.0,1.0,0.7142857142857142,0.8610119046971834,10
0.03,4,0.7,0.8,0.5,10.0,0.7142857142857142,0.8354166665900266,31
0.1,6,0.9,0.8,1.0,10.0,0.7095238095238096,0.8883184523289465,29
0.1,10,0.9,0.8,1.0,1.0,0.7095238095238094,0.9214285713919838,18
0.08,10,0.9,0.7,0.5,5.0,0.7095238095238094,0.9052827380511319,19
0.1,4,0.8,0.7,5.0,5.0,0.6904761904761905,0.915476190436831,22
0.03,4,1.0,0.9,5.0,5.0,0.6904761904761905,0.9052827380511319,9
0.03,4,0.9,1.0,2.0,5.0,0.6904761904761905,0.8770833332760958,3
0.05,6,0.8,1.0,5.0,10.0,0.6904761904761905,0.870014880891852,13
0.03,6,0.9,1.0,2.0,10.0,0.6904761904761905,0.8639880951747598,17
0.1,4,1.0,0.9,1.0,10.0,0.6904761904761905,0.862946428507608,16
0.03,4,0.7,0.7,0.5,1.0,0.6904761904761905,0.862946428507608,13
0.1,8,1.0,0.9,1.0,10.0,0.6904761904761905,0.8602678570777893,23
0.03,6,1.0,0.7,2.0,5.0,0.6904761904761905,0.8354166665900266,9
0.08,4,0.8,0.9,1.0,10.0,0.6904761904761905,0.8249999999185093,22
0.08,4,0.9,0.7,2.0,10.0,0.6857142857142857,0.8985119047146457,15
0.03,8,0.7,0.9,1.0,1.0,0.6857142857142857,0.881845238040218,7
0.1,4,1.0,0.8,2.0,10.0,0.6857142857142857,0.8770833332760958,11
0.1,8,0.7,1.0,1.0,5.0,0.6857142857142857,0.8664434523187602,11
0.1,6,1.0,0.8,0.5,10.0,0.6857142857142857,0.8462425594522106,7
0.03,4,0.7,0.9,2.0,10.0,0.6857142857142857,0.8447916665943922,25
0.05,4,1.0,0.8,2.0,10.0,0.6857142857142857,0.8389880951631182,17
0.08,4,0.7,0.8,1.0,10.0,0.6857142857142857,0.8345238094467536,21
0.03,6,0.8,0.8,0.5,10.0,0.6857142857142857,0.8306547618259044,19
0.1,10,0.8,1.0,1.0,10.0,0.6857142857142857,0.8249999999185093,21
0.03,6,0.8,0.9,0.5,10.0,0.6857142857142857,0.8168154761051742,18
0.03,6,0.7,0.9,0.5,10.0,0.6857142857142857,0.8161458332477196,24
0.03,4,1.0,0.7,0.5,1.0,0.680952380952381,0.9005208332870097,3
0.08,6,1.0,1.0,0.5,10.0,0.680952380952381,0.8735119047030041,28
0.08,10,0.7,0.7,0.5,10.0,0.680952380952381,0.8518601189786359,15
0.08,6,1.0,0.7,0.5,10.0,0.680952380952381,0.8270833332528127,19
0.05,4,0.8,0.9,2.0,5.0,0.6809523809523809,0.8912202380445835,24
0.1,8,0.9,0.7,1.0,5.0,0.6809523809523809,0.881845238040218,5
0.1,10,0.9,0.7,0.5,5.0,0.6809523809523809,0.8592261904106376,18
0.1,8,0.7,0.7,1.0,1.0,0.6761904761904762,0.8906994047110077,19
0.1,10,0.8,0.7,0.5,10.0,0.6571428571428571,0.8540922618368183,11
0.03,8,1.0,0.9,0.5,10.0,0.6571428571428571,0.8331473213508745,6
0.03,4,1.0,1.0,2.0,10.0,0.6571428571428571,0.8270833332528127,11
0.05,4,0.7,0.9,0.5,10.0,0.6571428571428571,0.8197916665827506,4
