eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_ndcg1,avg_best_iter
0.1,4,0.8,0.8,1.0,1.0,0.95,1.0,11
0.05,4,0.8,0.8,1.0,1.0,0.95,0.9749999999883585,9
0.05,4,1.0,0.8,5.0,1.0,0.95,0.9749999999883585,5
0.1,4,1.0,0.8,1.0,5.0,0.95,0.9749999999883585,12
0.1,6,0.8,0.8,1.0,5.0,0.95,0.9749999999883585,8
0.1,6,1.0,0.8,5.0,5.0,0.95,0.9749999999883585,15
0.1,6,0.8,0.8,5.0,1.0,0.9,0.9749999999883585,12
0.05,6,0.8,0.8,5.0,1.0,0.8833333333333332,0.9749999999883585,12
0.05,8,0.8,1.0,1.0,1.0,0.8833333333333332,0.9749999999883585,7
0.1,4,0.8,1.0,1.0,5.0,0.8833333333333332,0.9749999999883585,13
0.1,6,0.8,0.8,1.0,1.0,0.8833333333333332,0.9749999999883585,9
0.1,8,0.8,1.0,1.0,5.0,0.8833333333333332,0.9749999999883585,5
0.1,4,1.0,0.8,1.0,1.0,0.8833333333333332,0.9666666666511446,6
0.05,4,0.8,1.0,1.0,1.0,0.8833333333333332,0.941666666639503,9
0.05,4,1.0,0.8,1.0,1.0,0.8833333333333332,0.941666666639503,7
0.05,6,0.8,1.0,1.0,5.0,0.8833333333333332,0.941666666639503,11
0.05,6,1.0,0.8,5.0,1.0,0.8833333333333332,0.941666666639503,3
0.05,8,0.8,1.0,5.0,1.0,0.8833333333333332,0.941666666639503,5
0.05,8,1.0,1.0,1.0,1.0,0.8833333333333332,0.941666666639503,8
0.1,4,0.8,1.0,1.0,1.0,0.8833333333333332,0.941666666639503,14
0.1,6,1.0,0.8,5.0,1.0,0.8833333333333332,0.941666666639503,12
0.1,8,0.8,0.8,1.0,1.0,0.8833333333333332,0.941666666639503,6
0.1,8,1.0,0.8,1.0,1.0,0.8833333333333332,0.941666666639503,5
0.1,8,1.0,0.8,1.0,5.0,0.8833333333333332,0.941666666639503,8
0.1,6,1.0,1.0,5.0,1.0,0.8833333333333332,0.9249999999650754,5
0.05,6,1.0,1.0,1.0,1.0,0.8333333333333333,0.941666666639503,13
0.1,6,0.8,0.8,5.0,5.0,0.8166666666666668,0.9749999999883585,25
0.1,6,1.0,0.8,1.0,1.0,0.8166666666666668,0.9666666666511446,3
0.05,4,0.8,0.8,1.0,5.0,0.8166666666666668,0.941666666639503,8
0.05,8,0.8,0.8,5.0,1.0,0.8166666666666668,0.941666666639503,8
0.05,8,1.0,0.8,1.0,1.0,0.8166666666666668,0.9083333332906477,7
0.1,4,0.8,0.8,1.0,5.0,0.8166666666666668,0.9083333332906477,10
0.05,6,0.8,1.0,5.0,1.0,0.8166666666666667,0.9749999999883585,11
0.05,6,1.0,0.8,1.0,1.0,0.8166666666666667,0.9749999999883585,7
0.05,8,1.0,0.8,5.0,1.0,0.8166666666666667,0.9749999999883585,7
0.1,8,0.8,1.0,5.0,5.0,0.8166666666666667,0.9749999999883585,10
0.1,6,0.8,1.0,5.0,1.0,0.8166666666666667,0.9666666666511446,8
0.05,4,0.8,1.0,5.0,5.0,0.8166666666666667,0.941666666639503,12
0.05,4,1.0,1.0,1.0,1.0,0.8166666666666667,0.941666666639503,9
0.05,6,1.0,1.0,5.0,5.0,0.8166666666666667,0.941666666639503,19
0.05,8,0.8,0.8,5.0,5.0,0.8166666666666667,0.941666666639503,27
0.1,4,1.0,1.0,1.0,1.0,0.8166666666666667,0.941666666639503,5
0.1,6,1.0,1.0,5.0,5.0,0.8166666666666667,0.941666666639503,7
0.1,8,0.8,0.8,5.0,1.0,0.8166666666666667,0.941666666639503,13
0.1,8,1.0,0.8,5.0,1.0,0.8166666666666667,0.941666666639503,4
0.1,8,1.0,1.0,1.0,1.0,0.8166666666666667,0.941666666639503,4
0.1,8,1.0,1.0,5.0,1.0,0.8166666666666667,0.941666666639503,8
0.1,8,1.0,1.0,5.0,5.0,0.8166666666666667,0.941666666639503,3
0.05,6,1.0,0.8,5.0,5.0,0.8166666666666667,0.9093749999577995,12
0.1,8,0.8,1.0,1.0,1.0,0.8166666666666667,0.8916666666162201,6
0.05,4,1.0,0.8,1.0,5.0,0.8166666666666667,0.8833333332790062,15
0.05,6,1.0,0.8,1.0,5.0,0.8166666666666667,0.8833333332790062,11
0.05,6,1.0,1.0,1.0,5.0,0.8166666666666667,0.8833333332790062,15
0.05,8,1.0,0.8,1.0,5.0,0.8166666666666667,0.8749999999417923,16
