eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_best_iter
0.03,4,0.7,0.7,0.5,1.0,0.8380952380952381,19.2
0.03,4,0.7,0.7,0.5,5.0,0.7761904761904762,11.6
0.03,4,0.7,0.7,0.5,10.0,0.8095238095238096,13.2
0.03,4,0.7,0.7,1.0,1.0,0.9047619047619048,7.8
0.03,4,0.7,0.7,1.0,5.0,0.8095238095238096,10.0
0.03,4,0.7,0.7,1.0,10.0,0.8428571428571429,13.8
0.03,4,0.7,0.7,2.0,1.0,0.8428571428571429,6.2
0.03,4,0.7,0.7,2.0,5.0,0.8714285714285716,10.2
0.03,4,0.7,0.7,2.0,10.0,0.8380952380952381,19.2
0.03,4,0.7,0.7,5.0,1.0,0.7809523809523808,17.6
0.03,4,0.7,0.7,5.0,5.0,0.8095238095238095,11.0
0.03,4,0.7,0.7,5.0,10.0,0.8428571428571429,23.2
0.03,4,0.7,0.8,0.5,1.0,0.9047619047619048,14.2
0.03,4,0.7,0.8,0.5,5.0,0.8428571428571429,21.6
0.03,4,0.7,0.8,0.5,10.0,0.8095238095238096,30.8
0.03,4,0.7,0.8,1.0,1.0,0.8380952380952381,5.0
0.03,4,0.7,0.8,1.0,5.0,0.8428571428571429,16.6
0.03,4,0.7,0.8,1.0,10.0,0.8095238095238096,14.4
0.03,4,0.7,0.8,2.0,1.0,0.9047619047619048,11.6
0.03,4,0.7,0.8,2.0,5.0,0.8714285714285716,12.4
0.03,4,0.7,0.8,2.0,10.0,0.8714285714285716,22.2
0.03,4,0.7,0.8,5.0,1.0,0.8095238095238095,14.8
0.03,4,0.7,0.8,5.0,5.0,0.8095238095238095,13.8
0.03,4,0.7,0.8,5.0,10.0,0.8095238095238095,22.2
0.03,4,0.7,0.9,0.5,1.0,0.8714285714285716,17.8
0.03,4,0.7,0.9,0.5,5.0,0.8095238095238095,30.6
0.03,4,0.7,0.9,0.5,10.0,0.8095238095238096,17.0
0.03,4,0.7,0.9,1.0,1.0,0.8428571428571429,6.6
0.03,4,0.7,0.9,1.0,5.0,0.8095238095238096,10.0
0.03,4,0.7,0.9,1.0,10.0,0.8095238095238096,20.8
0.03,4,0.7,0.9,2.0,1.0,0.8714285714285716,5.4
0.03,4,0.7,0.9,2.0,5.0,0.8714285714285716,9.0
0.03,4,0.7,0.9,2.0,10.0,0.8428571428571429,27.6
0.03,4,0.7,0.9,5.0,1.0,0.8095238095238095,26.8
0.03,4,0.7,0.9,5.0,5.0,0.8142857142857143,13.6
0.03,4,0.7,0.9,5.0,10.0,0.8428571428571429,27.4
0.03,4,0.7,1.0,0.5,1.0,0.8095238095238095,23.8
0.03,4,0.7,1.0,0.5,5.0,0.8428571428571429,16.4
0.03,4,0.7,1.0,0.5,10.0,0.8095238095238096,6.4
0.03,4,0.7,1.0,1.0,1.0,0.8428571428571429,12.2
0.03,4,0.7,1.0,1.0,5.0,0.8095238095238096,7.4
0.03,4,0.7,1.0,1.0,10.0,0.8142857142857143,27.2
0.03,4,0.7,1.0,2.0,1.0,0.8476190476190476,2.8
0.03,4,0.7,1.0,2.0,5.0,0.8714285714285716,12.2
0.03,4,0.7,1.0,2.0,10.0,0.8428571428571429,23.6
0.03,4,0.7,1.0,5.0,1.0,0.8428571428571429,9.0
0.03,4,0.7,1.0,5.0,5.0,0.8095238095238095,22.4
0.03,4,0.7,1.0,5.0,10.0,0.8428571428571429,16.4
0.03,4,0.8,0.7,0.5,1.0,0.780952380952381,7.0
0.03,4,0.8,0.7,0.5,5.0,0.8095238095238096,31.2
0.03,4,0.8,0.7,0.5,10.0,0.8428571428571429,18.8
0.03,4,0.8,0.7,1.0,1.0,0.8095238095238096,7.8
0.03,4,0.8,0.7,1.0,5.0,0.8095238095238096,27.8
0.03,4,0.8,0.7,1.0,10.0,0.8428571428571429,21.8
0.03,4,0.8,0.7,2.0,1.0,0.8714285714285716,16.4
0.03,4,0.8,0.7,2.0,5.0,0.8428571428571429,17.0
0.03,4,0.8,0.7,2.0,10.0,0.8428571428571429,13.2
0.03,4,0.8,0.7,5.0,1.0,0.8095238095238095,8.8
0.03,4,0.8,0.7,5.0,5.0,0.8095238095238095,9.8
0.03,4,0.8,0.7,5.0,10.0,0.8428571428571429,24.4
0.03,4,0.8,0.8,0.5,1.0,0.8428571428571429,16.4
0.03,4,0.8,0.8,0.5,5.0,0.7761904761904762,17.8
0.03,4,0.8,0.8,0.5,10.0,0.8095238095238096,13.2
0.03,4,0.8,0.8,1.0,1.0,0.7761904761904762,11.0
0.03,4,0.8,0.8,1.0,5.0,0.8428571428571429,31.2
0.03,4,0.8,0.8,1.0,10.0,0.8095238095238096,14.6
0.03,4,0.8,0.8,2.0,1.0,0.8428571428571429,14.8
0.03,4,0.8,0.8,2.0,5.0,0.8095238095238096,24.4
0.03,4,0.8,0.8,2.0,10.0,0.8428571428571429,12.4
0.03,4,0.8,0.8,5.0,1.0,0.8428571428571429,14.0
0.03,4,0.8,0.8,5.0,5.0,0.8761904761904763,31.0
0.03,4,0.8,0.8,5.0,10.0,0.8428571428571429,16.2
0.03,4,0.8,0.9,0.5,1.0,0.8428571428571429,9.4
0.03,4,0.8,0.9,0.5,5.0,0.8428571428571429,26.2
0.03,4,0.8,0.9,0.5,10.0,0.8095238095238096,19.0
0.03,4,0.8,0.9,1.0,1.0,0.8095238095238096,3.2
0.03,4,0.8,0.9,1.0,5.0,0.8095238095238096,11.2
0.03,4,0.8,0.9,1.0,10.0,0.8095238095238096,17.0
0.03,4,0.8,0.9,2.0,1.0,0.8428571428571429,9.8
0.03,4,0.8,0.9,2.0,5.0,0.8428571428571429,6.4
0.03,4,0.8,0.9,2.0,10.0,0.8428571428571429,13.6
0.03,4,0.8,0.9,5.0,1.0,0.8761904761904763,7.2
0.03,4,0.8,0.9,5.0,5.0,0.8428571428571429,13.0
0.03,4,0.8,0.9,5.0,10.0,0.8095238095238095,12.2
0.03,4,0.8,1.0,0.5,1.0,0.8095238095238096,3.6
0.03,4,0.8,1.0,0.5,5.0,0.8095238095238096,25.6
0.03,4,0.8,1.0,0.5,10.0,0.7761904761904763,12.2
0.03,4,0.8,1.0,1.0,1.0,0.8095238095238096,5.4
0.03,4,0.8,1.0,1.0,5.0,0.8095238095238096,12.0
0.03,4,0.8,1.0,1.0,10.0,0.7761904761904763,14.2
0.03,4,0.8,1.0,2.0,1.0,0.8761904761904763,15.4
0.03,4,0.8,1.0,2.0,5.0,0.8428571428571429,22.8
0.03,4,0.8,1.0,2.0,10.0,0.8095238095238096,7.8
0.03,4,0.8,1.0,5.0,1.0,0.8428571428571429,7.0
