T,P,M,D,features,top1_mean,top1_std,ndcg1_mean,ndcg1_std,best_iter_mean
0.3,0.3,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.8,0.4000000000000001,1.0,0.0,1.8
0.3,0.3,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.8,0.4000000000000001,1.0,0.0,1.8
0.3,0.3,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.8,0.4000000000000001,1.0,0.0,1.8
0.3,0.3,0.1,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,1.0,0.0,6.6
0.3,0.3,0.1,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,1.0,0.0,6.6
0.7,0.3,0.05,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,1.0,0.0,4.6
0.7,0.3,0.05,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,1.0,0.0,4.6
0.5,0.5,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,1.0,0.0,1.4
0.3,0.3,0.1,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,1.0,0.0,6.6
0.5,0.3,0.05,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,0.8499908441677348,0.3000183116645303,7.2
0.5,0.3,0.05,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,0.8499908441677348,0.3000183116645303,7.2
0.3,0.5,0.2,0.1,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,1.0,0.0,1.8
0.3,0.5,0.2,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,1.0,0.0,1.8
0.3,0.5,0.2,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,1.0,0.0,1.8
0.3,0.5,0.05,0.2,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,1.0,0.0,7.0
0.3,0.5,0.05,0.05,batch|throughput|avg_mem|pwr_mean|pwr_std|energy_per_img,0.6,0.48989794855663565,1.0,0.0,5.0
