T,P,M,D,num_groups,change_rate_vs_default
0.3,0.1,0.05,0.05,5,0.6
0.3,0.1,0.05,0.1,5,0.6
0.3,0.1,0.05,0.2,5,0.6
0.3,0.1,0.1,0.05,5,0.19999999999999996
0.3,0.1,0.1,0.1,5,0.19999999999999996
0.3,0.1,0.1,0.2,5,0.19999999999999996
0.3,0.1,0.2,0.05,5,0.19999999999999996
0.3,0.1,0.2,0.1,5,0.19999999999999996
0.3,0.1,0.2,0.2,5,0.19999999999999996
0.3,0.3,0.05,0.05,5,0.6
0.3,0.3,0.05,0.1,5,0.6
0.3,0.3,0.05,0.2,5,0.6
0.3,0.3,0.1,0.05,5,0.19999999999999996
0.3,0.3,0.1,0.1,5,0.19999999999999996
0.3,0.3,0.1,0.2,5,0.19999999999999996
0.3,0.3,0.2,0.05,5,0.19999999999999996
0.3,0.3,0.2,0.1,5,0.19999999999999996
0.3,0.3,0.2,0.2,5,0.19999999999999996
0.3,0.5,0.05,0.05,5,0.6
0.3,0.5,0.05,0.1,5,0.6
0.3,0.5,0.05,0.2,5,0.6
0.3,0.5,0.1,0.05,5,0.19999999999999996
0.3,0.5,0.1,0.1,5,0.19999999999999996
0.3,0.5,0.1,0.2,5,0.19999999999999996
0.3,0.5,0.2,0.05,5,0.19999999999999996
0.3,0.5,0.2,0.1,5,0.19999999999999996
0.3,0.5,0.2,0.2,5,0.19999999999999996
0.5,0.1,0.05,0.05,5,0.6
0.5,0.1,0.05,0.1,5,0.6
0.5,0.1,0.05,0.2,5,0.6
0.5,0.1,0.1,0.05,5,0.0
0.5,0.1,0.1,0.1,5,0.0
0.5,0.1,0.1,0.2,5,0.0
0.5,0.1,0.2,0.05,5,0.19999999999999996
0.5,0.1,0.2,0.1,5,0.19999999999999996
0.5,0.1,0.2,0.2,5,0.19999999999999996
0.5,0.3,0.05,0.05,5,0.6
0.5,0.3,0.05,0.1,5,0.6
0.5,0.3,0.05,0.2,5,0.6
0.5,0.3,0.1,0.05,5,0.0
0.5,0.3,0.1,0.1,5,0.0
0.5,0.3,0.1,0.2,5,0.0
0.5,0.3,0.2,0.05,5,0.19999999999999996
0.5,0.3,0.2,0.1,5,0.19999999999999996
0.5,0.3,0.2,0.2,5,0.19999999999999996
0.5,0.5,0.05,0.05,5,0.6
0.5,0.5,0.05,0.1,5,0.6
0.5,0.5,0.05,0.2,5,0.6
0.5,0.5,0.1,0.05,5,0.0
0.5,0.5,0.1,0.1,5,0.0
0.5,0.5,0.1,0.2,5,0.0
0.5,0.5,0.2,0.05,5,0.19999999999999996
0.5,0.5,0.2,0.1,5,0.19999999999999996
0.5,0.5,0.2,0.2,5,0.19999999999999996
0.7,0.1,0.05,0.05,5,0.6
0.7,0.1,0.05,0.1,5,0.6
0.7,0.1,0.05,0.2,5,0.6
0.7,0.1,0.1,0.05,5,0.6
0.7,0.1,0.1,0.1,5,0.6
0.7,0.1,0.1,0.2,5,0.6
0.7,0.1,0.2,0.05,5,0.19999999999999996
0.7,0.1,0.2,0.1,5,0.19999999999999996
0.7,0.1,0.2,0.2,5,0.19999999999999996
0.7,0.3,0.05,0.05,5,0.6
0.7,0.3,0.05,0.1,5,0.6
0.7,0.3,0.05,0.2,5,0.6
0.7,0.3,0.1,0.05,5,0.6
0.7,0.3,0.1,0.1,5,0.6
0.7,0.3,0.1,0.2,5,0.6
0.7,0.3,0.2,0.05,5,0.19999999999999996
0.7,0.3,0.2,0.1,5,0.19999999999999996
0.7,0.3,0.2,0.2,5,0.19999999999999996
0.7,0.5,0.05,0.05,5,0.6
0.7,0.5,0.05,0.1,5,0.6
0.7,0.5,0.05,0.2,5,0.6
0.7,0.5,0.1,0.05,5,0.6
0.7,0.5,0.1,0.1,5,0.6
0.7,0.5,0.1,0.2,5,0.6
0.7,0.5,0.2,0.05,5,0.19999999999999996
0.7,0.5,0.2,0.1,5,0.19999999999999996
0.7,0.5,0.2,0.2,5,0.19999999999999996
